pID,name,birthYear,deathYear,profession
nm1568035,Stuart Fenegan,\N,\N,producer
nm1641117,Alex Pettyfer,1990,\N,actor
nm1745736,Paula Patton,1975,\N,actress
nm1837667,Wade Sullivan,\N,\N,actor
nm1867990,Cynthia Calvert,\N,\N,producer
nm1925239,Jack O'Connell,1990,\N,actor
nm1939267,T.I.,1980,\N,actor
nm1940449,Andrew Garfield,1983,\N,actor
nm1973933,Adam Pitman,\N,\N,producer
nm1989536,Marc Webb,1974,\N,producer
nm2120456,Arash Aasefi,\N,\N,actor
nm2149083,Dan Keston,\N,\N,producer
nm2202341,David Blair,\N,\N,producer
nm2210323,Aaron Davis,\N,\N,actor
nm2368916,Nathaniel Peterson,\N,\N,actor
nm2403277,Alden Ehrenreich,1989,\N,actor
nm2443758,Nicola Peltz,1995,\N,actress
nm2502689,Brad Dalton,\N,\N,director
nm2539953,Alicia Vikander,1988,\N,actress
nm2652716,Grant Gustin,1990,\N,actor
nm2851530,Dane DeHaan,1986,\N,actor
nm2933757,Gal Gadot,1985,\N,actress
nm3150488,Douglas Booth,1992,\N,actor
nm3206486,Daniel Webber,\N,\N,actor
nm3449616,J.T. Boone,\N,\N,producer
nm3485845,Adam Driver,1983,\N,actor
nm3538718,Nick Robinson,1995,\N,actor
nm3701064,Iwan Rheon,1985,\N,actor
nm4360085,Callum Turner,\N,\N,actor
nm4436761,Matilda Anna Ingrid Lutz,\N,\N,actress
nm4731243,Hossein Heshmatian,\N,\N,actor
nm4920741,Rory J. Saper,1996,\N,actor
nm7199109,Karin Mushegain,\N,\N,actor
nm7222287,Christian Stevens,\N,\N,actor
nm8289101,Hellene Alabi-Williams,\N,\N,director
nm8575371,Craig Robinson,\N,\N,producer
nm8580524,Ashley Mansour,\N,\N,producer
nm9041452,Neils Williams,\N,\N,actor
